,Nr,xNi,T,t,Ms,cfrac,mipd
168,696.0,0.5386928764870391,708.62908128649,-3173.617259413004,283.49899479884385,0.4908358656985964,1.1592915204220085e-08
169,710.0,0.5184192836424336,683.4997801855206,-3268.721118941903,328.0065317867454,0.2361438458192313,6.595104735248268e-09
170,721.0,0.51545912229456,727.1021309122443,-3526.2193266302347,329.2002654469498,0.1951357349921359,1.76626270317926e-08
171,745.0,0.5202616155240685,750.2032981067896,-2991.662399098277,264.196241014982,0.1801971608355568,3.8389956002879853e-08
172,754.0,0.5106421339465306,662.2464781999588,-1936.867694556713,259.99007997233235,0.0204366934714878,6.6587558592505694e-09
173,776.0,0.5352510931622237,696.1487792804837,-2982.629781961441,270.8169593964756,0.425918812913132,8.802852872399182e-09
174,781.0,0.5106331929704174,725.8715740963817,-3342.9338760674,306.14877617251216,0.0902037113475436,2.1143703662436852e-08
175,787.0,0.5237775221979246,731.3703198358417,-1928.2676842063663,189.0462813775891,0.1846059501728372,2.0870834497635432e-08
176,668.0,0.5261576495179907,686.3037048280239,-3491.2688054144382,328.6213102505127,0.3483393873983056,6.978946103163094e-09
177,748.0,0.5238537443755195,660.5116298794746,-3334.3956504017115,233.40222696917712,0.2101618379948911,5.208114366848632e-09
178,724.0,0.5286567619768903,698.6705148592591,-2747.543854638934,302.6578550068652,0.3560396687050622,8.864201580448243e-09
179,761.0,0.5196599563956261,736.694627776742,-2427.442925423384,285.6775692074435,0.1976958691780954,2.309764177368265e-08
180,790.0,0.5203378055151552,701.6789390519261,-2485.4554552584887,316.7708411340443,0.2493920048786161,9.19292696106452e-09
181,827.0,0.5336419371934608,733.0160357803106,-3139.557918906212,243.85818667400065,0.3791370657491537,2.268773934139152e-08
182,707.0,0.5274648415576667,712.2847316786647,-2950.4951041191816,320.6318541230826,0.3583984713912972,1.1916180737176526e-08
183,734.0,0.5124212851794436,709.198906198144,-1616.785228997469,272.9015451305874,0.0666015457319052,1.2125232268431208e-08
184,764.0,0.527268384792842,707.8216126561165,-2098.793940246105,235.7225742321987,0.2684359289462117,1.1177265381138985e-08
185,769.0,0.5134554607374594,716.1903726682067,-2278.9919603616,303.7206584212725,0.1287783903713959,1.3709988404368501e-08
186,806.0,0.5179226563405246,685.4133510217071,-1749.5373252779243,241.7511936827195,0.1189019499235427,7.3011783493648e-09
187,766.0,0.5134451250126586,675.6916423141956,-2785.037810727954,305.8294742708287,0.1318031921905624,6.107175943696899e-09
188,771.0,0.527394044441171,740.2957458421588,-3392.3978872597218,294.5718700060159,0.3277298230224193,2.7441390247133604e-08
